Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Indonesia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013,0.0022,0.0025,0.003,0.003,0.009,0.0127,0.6927,1.1195,1.4959,1.6831,1.553,0.9727,0.797,0.828198097
Iran,-0.677,-0.304,0.178,0.57,0.333,-0.675,-0.234,-0.678,-2.191,-4.084,-3.692,-5.012,-7.132,-7.879,-5.888,-2.674,-2.467,-4.32,-3.707,-6.864,-6.796,-6.796,-6.451,-2.587175217
Iraq,0.0,0.0,0.0,0.0,1.318,1.241,2.688,2.196,2.973,5.585,6.72205,7.233094,10.172395,9.242514,8.856817,9.170915,8.140253,5.635987,4.678144,6.551689,7.445326,5.096002,3.534287,3.133724
Ireland,0.098,-0.25,0.503,1.166,1.574,2.044,1.778,1.33,0.45,0.764,0.4703,0.4901,0.4135,2.2422,2.149,0.6734,-0.7117,-0.6785,-0.0277,0.6446,-0.1519,1.5876,0.2101796,3.4488161
Israel,-1.457,-1.399,-1.387,-1.47,-1.459,-1.667,-1.844,-2.081,-3.666,-3.783,-3.966,-4.222,-4.434,-4.675,-4.844,-5.197,-5.553,-5.649,-5.863,-6.311,-6.243,-6.523,-6.916,-6.93
Italy,44.347,48.377,50.597,50.968,45.635,49.155,44.985,46.283,40.035,44.959,44.16,45.732,43.103,42.138,43.716,46.378,37.027,37.7607,43.8988,38.1412,32.2003,42.7941,42.9828306,51.2518978
Jordan,0.42,0.265,0.322,0.969,0.788,0.737,0.459,0.032,0.224,0.244,0.612,1.652,0.68,0.322,0.371,0.554,0.288,-0.0057,0.0943,0.1413,0.1905,0.222,0.071,0.220143022
Kazakhstan,3.017,1.798,0.389,-1.469,-2.169,-0.13,0.225,0.075,0.286,-0.669,1.157,0.791,1.319,-0.849,-1.168,0.004,-1.253,-4.364,-3.481,-0.484,-0.754,-0.568,1.451,1.451
Kenya,0.198,0.172,0.222,0.189,0.162,0.0036,-0.036,-0.035,-0.016,0.012,0.001,-0.003,0.006,0.005,0.127,0.012,0.047,0.218,0.095,0.196,0.1202,0.27,0.298,0.282
Kyrgyzstan,-2.832,-1.843,-0.677,-1.608,-3.328,-2.684,-2.512,-2.375,-0.766,-1.199,-1.712,-2.674,-1.663,-0.147,0.214,0.545,0.131,-1.215,-0.755,-0.002,0.051,1.135,2.349,3.500989773
