Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Ethiopia,1.699,2.0371,2.068,2.325,2.565,2.881,3.306,3.438,3.3361,3.6204,5.0104,6.3308,7.571,8.6531,9.4721,10.3861,12.4701,13.1367,14.2388,15.3073,15.6166,15.7831,17.40680783,18.25403618
Falkland Islands,0.0138,0.0144,0.0152,0.0152,0.0152,0.0151,0.0155,0.0154,0.015,0.0129,0.0166,0.0166,0.0179,0.0179,0.0181,0.0181,0.02,0.0173,0.0168,0.0173,0.0167,0.0179,0.019156877,0.019156877
Faroe Islands,0.2118,0.2307,0.2391,0.2478,0.2479,0.2443,0.2589,0.2684,0.2749,0.2746,0.2801,0.2738,0.291,0.2911,0.3062,0.3135,0.3159,0.3334,0.3509,0.385,0.4074,0.4334,0.4884,0.4884
Fiji,0.7527,0.7911,0.8299,0.8774,0.8807,0.8884,0.9048,0.8883,0.8383,0.8286,0.8692,0.8498,0.8562,0.8865,0.908,0.9332,0.9465,1.0168,1.1138,1.1494,1.0821,1.0616,1.070084592,1.150222979
Finland,68.515,73.035,73.495,82.846,84.301,69.281,81.04,79.933,75.925,70.722,78.7313,71.7974,68.874,69.6193,66.5968,67.3734,67.4534,66.1473,69.1283,67.4181,68.2233,71.2494,70.4083621,78.3798263
France,512.605,522.152,529.21,536.946,543.887,548.41,546.328,541.562,546.793,510.323,542.6106,545.542,545.3553,554.602,544.3578,552.4604,538.1507,535.7537,554.9791,546.4026,508.7771,531.1757,451.2062742,501.9253479
French Polynesia,0.406,0.4218,0.4646,0.479,0.539,0.508,0.5255,0.5498,0.5734,0.5853,0.7979,0.7403,0.7239,0.6813,0.6777,0.6774,0.6917,0.6822,0.6775,0.6936,0.6675,0.6591,0.7121625,0.7121625
Gabon,1.307,1.398,1.473,1.526,1.531,1.566,1.656,1.726,1.813,1.822,1.925,2.033,2.154,2.092,1.99,2.118,2.201,2.2426,2.7763,2.8402,2.928,2.9657,3.194734066,3.193
"Gambia, The",0.129,0.147,0.1512,0.168,0.185,0.204,0.217,0.231,0.244,0.2451,0.2485,0.2503,0.2516,0.2546,0.2573,0.2859,0.3016,0.3168,0.393,0.4611,0.4833,0.5004,0.511481237,0.515
Georgia,7.365,6.882,7.189,7.095,6.864,7.205,7.471,8.504,8.381,8.329,9.956,10.023,9.618,9.976,10.288,10.748,11.4805,11.439,12.0479,11.8574,11.16,12.645,14.24573,14.396
Germany,561.803,571.587,571.902,592.419,599.4172,601.7302,618.5534,622.2414,623.246,579.267,604.5909,586.4514,601.2341,611.7087,600.6496,621.6654,626.8933,631.4231,617.1322,587.3819,557.0108,574.6817,565.533853,536.428106
Ghana,7.176,7.8128,7.265,5.88,6.0051,6.7509,8.3891,6.9569,8.319,8.9309,10.113,11.306,12.1389,12.9838,13.0779,11.6329,13.166,13.2922,14.9069,17.2978,19.734,22.0707,23.21984063,24.282
Gibraltar,0.125,0.126,0.129,0.134,0.136,0.145,0.151,0.155,0.166,0.174,0.177,0.171,0.176,0.189,0.198,0.224,0.214,0.2135,0.2154,0.2197,0.2145,0.233,0.211,0.22
Greece,53.209,52.786,53.634,57.616,58.541,59.129,59.859,62.348,62.52,60.924,57.327,55.7027,56.0566,54.2734,47.7531,49.2545,52.4084,53.0509,51.0288,46.8697,47.050216,54.0087,51.822809,47.36388032
Greenland,0.2969,0.2834,0.3103,0.3089,0.3308,0.3468,0.3469,0.3628,0.3688,0.4179,0.4104,0.4474,0.4553,0.4677,0.4825,0.5138,0.4839,0.5112,0.5255,0.4885,0.5215,0.5175,0.5445,0.5445
Grenada,0.1307,0.1425,0.149,0.1592,0.1359,0.1473,0.1672,0.1757,0.1889,0.2031,0.2104,0.2055,0.2021,0.199,0.2029,0.2083,0.2209,0.2298,0.2344,0.2435,0.2269,0.2352,0.239453333,0.239453333
Guam,1.9414,1.9477,1.7198,1.7774,1.8778,1.8972,1.8912,1.8794,1.8782,1.868,1.8726,1.8402,1.7846,1.7384,1.7058,1.7114,1.734,1.7685,1.7376,1.7495,1.7119,1.74361364,1.804744832,1.804744832
Guatemala,6.4588,6.724,6.6633,6.9031,6.4111,6.947,7.8769,8.726,8.681,8.9109,8.8436,8.7549,9.3569,10.129,10.6448,11.1736,11.8606,12.3397,13.254,12.7027,12.4198,15.4844,13.48104961,13.469
Guinea,0.808,0.958,1.009,0.859,0.897,0.786,0.725,0.784,0.818,0.7969,0.6297,0.5538,0.731,0.6539,0.7137,1.1396,1.6165,1.774,1.9443,2.0508,2.486,3.645,3.99491916,4.04791916
Guinea-Bissau,0.0251,0.0249,0.0236,0.0217,0.0283,0.0262,0.0279,0.0297,0.0298,0.0309,0.032,0.0323,0.0292,0.023,0.0287,0.0591,0.0795,0.0798,0.0827,0.0835,0.083,0.083,0.085800044,0.085800044
Guyana,0.8964,0.9197,0.9224,0.8256,0.8633,0.6523,0.6673,0.7044,0.7162,0.8318,0.8725,0.917,0.9441,0.9618,0.9788,1.004,1.0814,1.1049,1.1376,1.1427,1.1403,1.1324,1.269613382,1.3384
Haiti,0.544,0.591,0.544,0.532,0.544,0.553,0.567,0.466,0.484,0.719,0.689,0.986,1.0989,1.0549,1.0329,1.0392,1.0853,1.0565,1.0478,1.0656,1.031,1.035,1.013,1.013
Honduras,3.637,3.914,4.147,4.681,5.16,5.531,5.961,6.294,6.479,6.853,7.202,7.469,7.836,8.211,8.296,9.368,9.6421,9.7721,10.0641,11.1402,10.6835,11.5189,11.76257467,11.70926393
Hong Kong,31.2606,32.3577,34.2293,35.4242,37.0438,38.3837,38.5444,38.8907,37.9238,38.6252,38.2275,38.9758,38.5316,39.0091,39.7458,37.8668,38.1296,36.9309,36.5521,36.94,34.3551,36.2204,36.097,37.63077253
Hungary,34.48,35.707,35.457,33.59,33.11,34.941,34.904,39.144,39.071,34.778,36.3939,34.644,33.3115,28.7895,27.9113,28.9338,30.4666,31.6664,30.7693,33.0663,33.7009,34.9107,34.4591969,34.0925954
Iceland,7.62,7.967,8.346,8.429,8.552,8.616,9.857,11.893,16.343,16.711,16.746,16.851,17.296,18.0,17.803,18.558,18.1716,19.0721,19.6997,19.3614,18.8954,19.3933,19.8698472,20.1274173
