Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Dominican Republic,12.0958,11.981,12.8615,12.8151,10.2767,11.2754,12.2025,12.7103,13.0795,12.1356,13.193,14.0535,14.8583,15.4233,15.539,16.5812,16.6988,16.1583,16.9038,18.614,16.34,17.623,18.088,20.32087661
Ecuador,3.003,3.979,4.363,4.365,5.461,5.814,6.998,8.2777,7.2915,9.0149,10.8489,9.3933,10.591,12.1232,12.6911,12.6314,10.8679,7.3747,8.2067,7.2087,6.3623,6.039,7.930811719,7.926290907
Egypt,64.309,67.931,76.127,81.796,88.132,95.494,101.866,108.788,115.139,124.76,145.355,142.216,149.737,153.252,159.609,170.363,173.762,181.006,181.994,173.5,177.295,182.131,183.39,183.926
El Salvador,1.416,1.605,1.814,1.721,1.885,1.879,2.293,2.517,2.237,2.531,2.092,2.255,2.48,2.481,2.4786,2.5324,2.5106,1.3993,1.204,1.7568,0.9771,0.987,0.606,0.606
Equatorial Guinea,0.0433,0.054,0.054,0.06,0.083,0.09,0.103,0.12,0.145,0.168,0.1907,0.2709,0.462,0.5986,0.706,0.832,0.927,0.8957,0.9116,0.9565,0.9223,0.962,1.037,1.078570916
Eritrea,0.209,0.232,0.258,0.276,0.282,0.287,0.267,0.286,0.285,0.293,0.309,0.321,0.318,0.273,0.272,0.264,0.269,0.3258,0.3397,0.3498,0.3606,0.371,0.388,0.39251477
Estonia,8.495,8.465,8.497,10.11,10.244,10.094,9.602,12.045,10.384,8.238,11.92,11.714,10.49,11.995,10.984,8.518,10.517,11.2183,10.2785,5.409,3.0332,4.3684,6.034,3.3919937
Eswatini,0.013,0.015,0.026,0.028,0.028,0.028,0.021,0.022,0.019,0.017,0.015,0.025,0.037,0.035,0.02,0.017,0.025,0.0174,0.0174,0.0377,0.018,0.016,0.017,0.017
Ethiopia,0.023,0.019,0.021,0.016,0.018,0.012,0.02,0.043,0.01,0.058,0.05,0.049,0.017,0.008,0.003,0.004,0.004,0.0044,0.0047,0.0052,0.0055,0.002,0.002,0.002
Falkland Islands,0.0136,0.0142,0.015,0.0149,0.0149,0.0148,0.0152,0.0151,0.013,0.0109,0.0116,0.0106,0.0109,0.0109,0.0111,0.0117,0.0127,0.0123,0.0118,0.0123,0.0127,0.0139,0.014156877,0.014156877
Faroe Islands,0.136,0.155,0.143,0.16,0.147,0.136,0.144,0.1492,0.167,0.1681,0.1993,0.1668,0.181,0.1801,0.1502,0.1255,0.1589,0.1634,0.1801,0.23,0.2494,0.2624,0.2624,0.2624
Fiji,0.2086,0.198,0.2498,0.4033,0.3836,0.4193,0.4337,0.2782,0.2712,0.3125,0.4169,0.3577,0.2916,0.3209,0.4679,0.4842,0.4251,0.5088,0.4537,0.4798,0.3965,0.401,0.417556348,0.417556348
Finland,23.855,29.869,32.467,42.102,37.039,23.419,36.555,33.08,26.095,26.326,32.6126,25.2931,18.2073,21.1428,17.459,14.3219,14.4972,12.7874,14.7511,12.2855,9.7053,9.966,6.9942326,4.362663
Former Czechoslovakia,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Former Serbia and Montenegro,22.14,22.68,23.31,25.515,26.565,25.44,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Former U.S.S.R.,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Former Yugoslavia,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
France,49.539,45.005,51.127,55.73,54.812,61.699,55.297,56.347,53.661,49.234,57.0606,58.668,55.5431,52.0728,35.1408,44.1579,55.3959,64.2026,48.5082,53.0038,47.4463,47.7808,58.900909,39.74
French Guiana,0.16,0.225,0.15,0.36,0.32,0.295,0.21,0.248,0.247,0.4437,0.392,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie
French Polynesia,0.29,0.3168,0.3336,0.325,0.361,0.329,0.3255,0.3268,0.3614,0.3743,0.5206,0.51,0.5126,0.511,0.4831,0.4784,0.4747,0.4701,0.4755,0.4935,0.4644,0.47,0.4700625,0.4700625
Gabon,0.505,0.522,0.552,0.627,0.639,0.754,0.712,0.925,0.92,0.879,1.019,1.192,1.244,1.153,1.192,1.197,1.367,1.3009,1.4635,1.517,1.495,1.5843,1.658,1.658
"Gambia, The",0.129,0.147,0.1512,0.168,0.185,0.203,0.216,0.229,0.242,0.242,0.2452,0.2467,0.2485,0.2515,0.2542,0.2828,0.2985,0.3137,0.388,0.4561,0.4783,0.4954,0.506481237,0.51
Georgia,1.564,1.395,0.49,0.634,0.875,1.031,2.209,1.754,1.291,0.991,0.683,2.212,2.467,1.788,2.036,2.379,2.2355,2.233,2.1149,2.8404,2.8208,2.38,3.38773,3.447
Germany,361.442,364.835,365.426,388.591,383.051,383.747,386.138,397.892,385.399,352.439,363.3439,357.0474,360.9171,364.0777,342.4846,343.0874,353.6123,340.0581,321.3662,274.929,244.3158,274.6684,278.7447597,263.0143562
"Germany, East",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"Germany, West",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Ghana,0.618,1.2558,2.265,2.02,0.7631,1.1639,2.8161,3.2569,2.17,2.1069,3.171,3.805,4.1329,4.8138,4.7519,5.8239,7.615,7.6292,8.8369,9.9752,12.364,14.3977,14.84521897,14.925
Gibraltar,0.125,0.126,0.129,0.134,0.136,0.145,0.151,0.155,0.166,0.174,0.177,0.171,0.176,0.189,0.198,0.224,0.214,0.2135,0.2154,0.2197,0.2145,0.233,0.211,0.22
